Starting Median Salary,Mid-Career Median Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Region_California,Region_Midwestern,Region_Northeastern,Region_Southern,Region_Western
70400,129000,93100,184000,1,0,0,0,0
75500,123000,104000,161000,1,0,0,0,0
71800,122000,96000,180000,1,0,0,0,0
59900,112000,81000,149000,1,0,0,0,0
51900,105000,54800,157000,1,0,0,0,0
57200,101000,74700,133000,1,0,0,0,0
52600,101000,72500,139000,1,0,0,0,0
51100,101000,75400,131000,1,0,0,0,0
48600,101000,63300,161000,1,0,0,0,0
54800,99600,73800,140000,1,0,0,0,0
52300,99600,71600,135000,1,0,0,0,0
48300,96700,66000,123000,1,0,0,0,0
53500,95600,70500,122000,1,0,0,0,0
50500,95000,71200,129000,1,0,0,0,0
47400,88100,62800,122000,1,0,0,0,0
45700,87000,62500,119000,1,0,0,0,0
47300,86400,62700,114000,1,0,0,0,0
46200,85200,61800,116000,1,0,0,0,0
45100,84700,62500,113000,1,0,0,0,0
49200,84300,62400,115000,1,0,0,0,0
44700,84100,62000,121000,1,0,0,0,0
47800,82400,59600,111000,1,0,0,0,0
46800,81300,59900,109000,1,0,0,0,0
45500,80400,57800,108000,1,0,0,0,0
42700,72100,47000,92200,1,0,0,0,0
38000,71400,50500,94100,1,0,0,0,0
42600,71300,56300,94400,1,0,0,0,0
41500,67500,44600,93100,1,0,0,0,0
58100,106000,87900,142000,0,0,0,0,1
47100,97600,69000,128000,0,0,0,0,1
51000,93400,67400,123000,0,0,0,0,1
49400,88600,68500,119000,0,0,0,0,1
47500,86100,61700,117000,0,0,0,0,1
48800,85300,59800,115000,0,0,0,0,1
45300,84700,59000,113000,0,0,0,0,1
46100,84400,58600,105000,0,0,0,0,1
47400,84100,60700,114000,0,0,0,0,1
45100,83300,64000,113000,0,0,0,0,1
45400,83200,58400,116000,0,0,0,0,1
46500,82900,54600,113000,0,0,0,0,1
48300,82800,62400,110000,0,0,0,0,1
44900,82000,56700,104000,0,0,0,0,1
41600,81600,59100,105000,0,0,0,0,1
46600,81500,60100,104000,0,0,0,0,1
38500,81400,43000,148000,0,0,0,0,1
40500,81100,67400,101000,0,0,0,0,1
43500,80100,64800,111000,0,0,0,0,1
44300,79500,53800,102000,0,0,0,0,1
